Sr.No,Date(dd/mm/yyyy),Startup Name,Industry Vertical,City / Location,Investors’ Name,InvestmentType,Amount (in USD),Remarks
1,01 September 2015,TOFlo,FinTech Startup Incubation platform,Mumbai,Tania Johny Palathinkal,Seed Funding,"1,00,000",
2,01 September 2015,FXMartIndia,Payment Services platform,Chandigarh,Flipkart,Private Equity,N/A,Strategic Investment (Majority Stake)
3,01 September 2015,Stylecracker,Personalized Styling platform,Mumbai,Group of HNI investors,Private Equity,"10,00,000",Series A
4,01 September 2015,Luxuryhues,Luxury goods  Shopping Platform,Gurgaon,Reliance Capital,Private Equity,"9,00,000",Series A
5,02 September 2015,HolaChef,Food Delivery Platform,Mumbai,Ratan Tata,Private Equity,N/A,Part of Series A raised inJune 2015
6,02 September 2015,Zivame,Online Lingerie Marketplace,Bangalore,"Zodius Technology Fund, Khazanah Nasional Berhad",Private Equity,"4,00,00,000",Series C
7,02 September 2015,Capillary Tech,Cloud software solutions,New Delhi,"Warburg Pincus, Sequoia Capital, Norwest Venture Partners",Private Equity,"4,50,00,000",Series D
8,03 September 2015,Jobspire,Job Search Platform,Bangalore,Purvi Capital,Seed Funding,"2,60,000",
9,03 September 2015,MeraDoctor,Doctor consultancy Mobile App,Mumbai,India Quotient & other investors,Seed Funding,N/A,
10,03 September 2015,Vistaar Finance,Small Business Financing (NBFC),Bangalore,"WestBridge Capital, Omidyar Network, Elevar Equity, Saama Capital,  Lok Capital",Private Equity,"4,00,00,000",
11,03 September 2015,HiJinny,Beauty & Wellness Services Marketplace,Mumbai,CMYK Health Boutique Pvt Ltd & Other individual investors,Seed Funding,N/A,
12,04 September 2015,Clapsnslaps,Online Movie Review Platform,Mumbai,R M Picture Company Pvt. Ltd.,Seed Funding,"1,50,000",
13,04 September 2015,Blubox,ECommerce Brands’ Full Service Agency,Mumbai,Ashish Jhalani,Seed Funding,"1,00,000",
14,04 September 2015,RoomCentral,Cloud-based Hotel Booking Platform,Bangalore,Karanpal Singh,Seed Funding,"20,00,000",
15,07 September 2015,YouthKiAwaaz,Community Driven News/Views Platform,New Delhi,"Raghav Bahl, Ritu Kapur",Seed Funding,"6,00,000",
16,07 September 2015,Prozo,Study Material Marketplace,New Delhi,"Nalin Jain, Shomil Pant, Dinesh Kundu & others",Seed Funding,"2,05,000",
17,07 September 2015,Zomato,Restaurant Ratings & Reviews platform,Gurgaon,"Temasek, Vy Capital",Private Equity,"6,00,00,000",Late Stage
18,07 September 2015,Sahayog Dairy,Dairy Based Product Manufacturer,Bhopal,Acumen Fund,Private Equity,"18,00,000",Series A
19,08 September 2015,MockBank,Government Test Preparation platform,Bangalore,Blume Ventures,Seed Funding,"4,00,000",
20,08 September 2015,ReportBee,Smart Report Cards for Schools,Chennai,India Educational Investment Fund,Seed Funding,N/A,
21,08 September 2015,GuruG Learning,Teacher empowerment platform,Bangalore,India Educational Investment Fund,Seed Funding,N/A,
22,10 September 2015,OnlineTyari,Multilingual Test Preparation Platform,Gurgaon,"500 Startups, TV Mohandas Pai, Tandem Capital, Vikram Chachra, Aloke Bajpai",Private Equity,"7,70,000",Series A
23,10 September 2015,IndustryBuying,Industrial Tools Marketplace,New Delhi,"Kalaari Capital, SAIF Partners, Beenextan investment fund",Private Equity,"92,00,000",Series B
24,10 September 2015,The/Nudge Foundation,Non Profit Organization to alleviate poverty,Bangalore,"Nanadan Nilekani, InMobi, Paytm",Seed Funding,"3,15,000",
25,11 September 2015,FitMeIn,Gym & Fitness Studios Subscription platform,New Delhi,Green House Ventures,Seed Funding,"1,00,000",
26,11 September 2015,Envoged,pre-used luxury item Marketplace,Mumbai,"Ankush Nijhawan, Manish Dhingra, Gaurav Bhatnagar",Seed Funding,N/A,
27,11 September 2015,Zapyle,pre-used apparel shopping mobile app,Bangalore,N/A,Seed Funding,"10,00,000",
28,11 September 2015,Renomania,Home Design & Décor platform,New Delhi,Subodh Gupta,Seed Funding,N/A,
29,12 September 2015,CredR,Used Vehicles Marketplace,Mumbai,Eight Road Ventures,Private Equity,"1,50,00,000",Series A
30,12 September 2015,YatraGenie,Online Bus & Cab ticketing platform,Hyderabad,Ash Bhardwaj,Private Equity,N/A,Series A
31,14 September 2015,CanvasFlip,Mobile App testing platform,Hyderabad,Bessemer Venture Partners,Seed Funding,"12,00,000",
32,14 September 2015,Shadowfax,Hyperlocal Delivery Services,Gurgaon,Eight Roads Ventures,Private Equity,"90,00,000",Series A
33,14 September 2015,UE Life Sciences,Early Cancer Detection Solutions,US/India,"Aarin Capital, Unitus Seed Fund",Private Equity,"30,00,000",Series A
34,14 September 2015,Ola Cabs,Cab rental Mobile app,Bangalore,"Falcon Edge Capital, NY based Hedge Fund, Tiger Global, Softbank",Private Equity,"22,50,00,000",Late Stage
35,15 September 2015,Coverfox,Online Insurance Distribution Platform,Mumbai,Cataraman Ventures,Private Equity,"20,00,000",Part of $12M Series B funding
36,15 September 2015,MoEngage,Mobile Marketing Automation Platform,Bangalore,"Helion Venture Partners, Exfinity Ventures",Private Equity,"42,50,000",Series A
37,15 September 2015,Mubble,Prepaid Mobile Bill Manager App,Bangalore,Nandan Nilekani,Seed Funding,N/A,
38,15 September 2015,Tea Trails,Chain of Tea Café’s,Mumbai,"Anil Matai, Vikram Tandon, Shyam Sundar R & others",Seed Funding,"10,00,000",
39,15 September 2015,Room on Call,Branded Budget Hotel Marketplace,Noida,Payal Syal,Seed Funding,"3,00,000",
40,15 September 2015,FYNE,Home Fitting & Fixtures Marketplace,Bangalore,Sandeep Dama & Others,Seed Funding,N/A,Pre-Series A
41,16 September 2015,ChaiPoint,Food Subscription platform,Bangalore,Eight Roads Ventures,Private Equity,"1,00,00,000",Series A
42,16 September 2015,WedmeGood.com,Wedding Planning Platform,Gurgaon,Indian Angel Network,Seed Funding,"4,10,000",
43,16 September 2015,XSTOK,B2B Mobile Auction Marketplace,Mumbai,Oliphans Capital,Seed Funding,"4,50,000",
44,17 September 2015,UniLog,ECommerce Data Analytics Platform,Bangalore,Kalaari Capital,Private Equity,N/A,
45,17 September 2015,Paintcollar,Designer Merchandize Marketplace,Mumbai,Applyifi,Seed Funding,N/A,Bridge Funding
46,17 September 2015,YepMe,Private label Fashion eTailer,Gurgaon,"Khazanah Nasional Berhad, Helion Venture Partners",Private Equity,"7,50,00,000",Series D
47,17 September 2015,Bueno,Online Food ordering & delivery,Gurgaon,High Networth Individuals (No details),Seed Funding,"6,00,000",
48,18 September 2015,Plabro,Real Estate Broker Platform App,New Delhi,"Sachin Bansal & Binny Bansal, Sol Primero, Outbox Ventures, Sangram Singh",Seed Funding,"3,50,000",
49,18 September 2015,CureJoy,Online Health & Wellness platform,Bangalore,"Accel Partners, Subrata Mitra, Larry Braitman, Venk Krishna",Private Equity,"11,50,000",Pre-Series A
50,18 September 2015,Briston Technomach,Internet of Things platform,New Delhi,Undisclosed,Seed Funding,"1,50,000",
51,18 September 2015,LabStreet,Diagnostic Labs aggregator platform,Gurgaon,Multiple investors,Seed Funding,"1,50,000",
52,19 September 2015,DailyNinja,Hyperlocal Delivery Platform,Bangalore,"Aprameya Radhakrishna, Naman Sarawagi, Afsal Salu,",Seed Funding,N/A,
53,21 September 2015,Portea Medical,Home Medical Care Services,Bangalore,"Accel Partners, International Finance Corporation (IFC), Qualcomm Ventures, Ventureast",Private Equity,"3,75,00,000",
54,21 September 2015,Neotrade Analytics,Real-Time stock data platform,Bangalore,Rainmatter,Seed Funding,"2,35,000",
55,21 September 2015,DishCo,Food discovery & table booking app,Mumbai,"Anand Mahindra, Uday Punj, Ashish Hemrajani, Sanjeev Mehra",Seed Funding,N/A,
56,21 September 2015,LafaLafa,coupons and cashback aggregator app,Mumbai,500 Startups,Seed Funding,"1,25,000",thru Accelerator
57,21 September 2015,ConnectAbank,Financial Products lead generation platform,Mumbai,Prakhar Bumb,Seed Funding,N/A,
58,22 September 2015,VillFarm,Sustainable Agri-inputs Firm,Bangalore,"Unitus Seed Fund, Rianta Capital, R Ramaraj, Sunil Edwards",Seed Funding,N/A,
59,22 September 2015,Bestdealfinance,Financial Services Portal,Mumbai,"Kalaari Capital, YourNest Angel Fund",Private Equity,"30,00,000",Series A
60,22 September 2015,GameXS.in,Pre-owned games Marketplace,New Delhi,Lead Angels,Seed Funding,N/A,
61,22 September 2015,The Man Company,Content-based Subscription eCommerce platform,New Delhi,"Karan Bajwa, Amanpreet Bajaj, Manish Vij",Seed Funding,N/A,
62,22 September 2015,Virtual Logic,"virtual reality, 3d simulation and stereoscopic products",Bangalore,Swarnim Multiventures,Private Equity,"8,00,000",Pre-Series A
63,22 September 2015,Furdo,Online Interior Designing platform,Bangalore,Bhavdeep Reddy,Seed Funding,"4,00,000",
64,22 September 2015,LogiNext,End-to-end Logistics platform,Mumbai,Paytm,Private Equity,"1,00,00,000",Series A
65,22 September 2015,Korra,Private Label Apparel sales,New Delhi,Asha Jadeja Motwani & Others,Seed Funding,"3,00,000",
66,23 September 2015,Credihealth,Healthcare Consulting platform,Gurgaon,Rajat Malhotra,Seed Funding,N/A,
67,23 September 2015,Amigobulls,Stock Market Portal,Bangalore,"Sharad Sharma, Vijay Anand, Mohandas Pai. Pallav Nadhani, Singapore Angels Network & others",Seed Funding,N/A,
68,23 September 2015,SilverPush,Cross-device retargeting platform,Gurgaon / SFO,M&S Partners,Private Equity,"12,00,000",Series A
69,23 September 2015,Juggernaut,Digital & Physical Publishing platform,New Delhi,"William Bissell, Neeraj Aggarwal, Nandan Nilekani",Private Equity,"22,50,000",Series A
70,23 September 2015,InnerChef,Food Delivery Platform,New Delhi,"Phanindra Sama, Anupam Mittal, Vijay Shekhar Sharma, Vishal Gondal, Sateesh Andara & others",Private Equity,"17,50,000",pre-Series A
71,24 September 2015,Quintype,Data Driven Publishing platform,Bangalore,Raghav Bahl,Private Equity,"33,00,000",
72,24 September 2015,Capabiliti,Employee OnBoarding & Orientation platform,Noida,"500 Startups, Smile Multimedia, Kunal Bahl, Rohit Bansal, Girish Matrubootham",Seed Funding,"4,00,000",
73,24 September 2015,Fourth Partner Energy,Solar Power Solutions company,Hyderabad,"Infuse Ventures, The Chennai Angels",Private Equity,"20,00,000",Series A
74,24 September 2015,Licious,Online Meat Ordering platform,Bangalore,"Kanwaljit Singh, TV Mohandas Pai",Seed Funding,"10,00,000",
75,25 September 2015,TravelKhana,online meal-booking platform for train travelers,New Delhi,Astarc Ventures & Others,Seed Funding,N/A,Pre-Series A
76,28 September 2015,Quickli,hyperlocal delivery platform,New Delhi,"500 Startups, Mato Peric & Others",Seed Funding,N/A,
77,28 September 2015,Ola Cabs,Cab Booking app platform,Bangalore,Didi Kuaidi,Private Equity,"3,00,00,000",late Stage (part of $500M funding rnd)
78,29 September 2015,Paytm,E-Commerce & M-Commerce platform,New Delhi,"Alibaba Group, Ant Financial",Private Equity,"68,00,00,000",Late Stage (Alibaba @ 40% equity)
79,29 September 2015,Inmobi,Mobile Advertising platform,Bangalore,Tennenbaum Capital Partners & Others,Private Equity,"10,00,00,000",Late Stage
80,29 September 2015,Peppertap,Hyperlocal Grocery Delivery,Gurgaon,"Sequoia India, SAIF Partners.",Private Equity,"3,60,00,000",Series B
81,29 September 2015,Hugefly,Ecommerce Product recommendation platform,Pune,Mayank Singhal and others,Seed Funding,N/A,
82,29 September 2015,Brigge,Activity Based Social Network,Chennai,The Chennai Angels,Seed Funding,N/A,
83,29 September 2015,Zakoopi,Fashion Discovery platform,New Delhi,Uniqorn Ventures,Seed Funding,"3,50,000",
84,29 September 2015,LoanCircle,Consumer lending marketplace,Bangalore,"Zishaan Hayath, Rahul Khanna & Others",Seed Funding,N/A,
85,30 September 2015,Infoworks,Big Data Management Platform,Bangalore / USA,"Nexus Venture Partners, Knoll Ventures and others",Private Equity,"50,00,000",
86,30 September 2015,RedDoorz,Budget Accommodation Platform,Noida,Jungle Ventures,Seed Funding,"10,00,000",
87,30 September 2015,FirstTouch,Local Mobile OS,Gurgaon,"Kunal Bahl, Rohit Bansal, Pranay Chulet, Naveen Tiwari, Amit Gupta, Mayank Singhal",Seed Funding,N/A,Super angel round
88,30 September 2015,Eywa Media,Digital Signal processing platform,Bangalore,"ah! Ventures,Viktor Koenig PE Fund, Mantra Ventures",Seed Funding,"10,00,000",
89,01 October 2015,Indifi,Easy Business Loans platform,Gurgaon,"Accel Partners, Elevar Equity, Pramod Bhasin, Rajan Anandan, Gaurav Dalmia, Abhishek Goyal, Gagan Hasteer , Arun Tadanki",Seed Funding,N/A,
90,01 October 2015,Wydr,Performance based Wholesale Marketplace,New Delhi,Sandeep Aggarwal,Seed Funding,N/A,
91,01 October 2015,EasyFix,Professional Services Marketplace,Gurgaon,Axilor Ventures,Seed Funding,N/A,
92,01 October 2015,Muvizz,Movie-on-demand platform,Singapore,"Ashish Todi, Abhinav Patodia, Kumar Shwetabh",Seed Funding,"3,50,000",
93,01 October 2015,Abhibus,bus ticketing and fleet management platform,Hyderabad,Paytm (One97 communications),Private Equity,N/A,Strategic Investment
94,01 October 2015,Cleartax,Online Income Tax Filing platform,New Delhi,Paytm (One97 communications),Private Equity,N/A,N/A
95,02 October 2015,Shopalyst,Product discovery & recommendation platform,Bangalore,Kalaari Capital,Private Equity,"20,00,000",Series A
96,03 October 2015,Chillr,Mobile Payments App,Mumbai,Sequoia Capital,Private Equity,"60,00,000",Series A
97,05 October 2015,Nykaa,Beauty & Wellness Products e-tailer,Mumbai,"Harsh Mariwala, Atul Nishar, Dalip Pathak, Michael Carlos",Private Equity,"95,00,000",Series B
98,05 October 2015,Voylla,Fashion jewelry and accessories e-tailer,Jaipur,Peepul Capital,Private Equity,"1,50,00,000",Series B
99,05 October 2015,IndiaLends,Online Consumer Lending platform,New Delhi,"DSG consumer Partners, Paragon Partners",Private Equity,"10,00,000",Pre-Series A Bridge round
100,05 October 2015,Rock N Shop,Premium Apparel shopping portal,New Delhi,High Networth Individuals (undisclosed),Seed Funding,"1,50,000",
101,06 October 2015,DocPlexus,Exclusive Platform for Doctors & Healthcare professionals,Pune,"Uniqorn ventures, ASP Consulting",Seed Funding,"7,00,000",
102,06 October 2015,WorkIndia,Job Board,Mumbai,"Satyen Kothari, Keshav Sanghi, Riddhesh Gandhi & Others",Seed Funding,"5,00,000",Pre-Series A
103,06 October 2015,SportzVillage,Sports Management & Physical Education Business,Bangalore,Gaja Capital Private Equity Fund,Private Equity,"1,00,00,000",Series B
104,06 October 2015,SportyBeans,multi-sport program for preschoolers,Pune,YouWeCan Ventures,Seed Funding,N/A,
105,06 October 2015,Burger Singh,QSR & Online delivery portal,Gurgaon,"Ashvin Chadha, Avtar Monga, Udaan Angels, Dheeraj Jain",Seed Funding,"5,00,000",Bridge Round
106,06 October 2015,Welcome Cure,Online Homeopathy Clinic,Mumbai,Unnamed Media house and HNIs,Private Equity,"60,00,000",Pre-Series A
107,07 October 2015,SchoolGuru,E-Learning Service Provider,Mumbai,High Networth Individuals from India & USA,Private Equity,"30,00,000",Series A
108,07 October 2015,Naturally Yours,Organic Food etailer,Mumbai,Sanjay Mehta,Seed Funding,N/A,
109,07 October 2015,GoJavas,Delivery & Logistics Service provider,Gurgaon,Snapdeal,Private Equity,"2,00,00,000",Strategic Funding (Series C)
